,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor
2021-10-01,1.636040,0.349017,-3.822294,-3.843315,1.572709,0.034001,0.012900,-1.585201,2.608177,-1.096562,-2.234187,0.393966,0.660476,4.033129,-3.462124,2.248828,0.017849,0.794366,0.857991,4.761174,-2.375857
2021-10-08,1.836980,1.297613,-0.172907,0.272488,1.061299,-0.073511,0.097037,0.027691,4.128631,1.303557,0.784149,-0.386226,0.515465,2.174423,3.530854,0.343141,0.144153,-0.938926,0.029759,6.558146,-0.753683
2021-10-15,1.177588,0.043956,-0.951812,-1.018627,1.965866,-0.401777,-0.036778,-0.815103,2.794211,1.361962,1.806043,-0.338011,-2.397216,-1.232547,6.372996,3.588840,0.468289,-1.081942,-0.145692,4.177216,-1.188511
2021-10-22,0.704504,0.558381,0.027160,1.191012,3.093922,-0.021591,0.080467,0.665469,0.995966,-0.403411,1.631088,-0.551326,-4.206093,-12.718331,-3.512460,2.402941,0.083486,-0.860984,-0.377551,2.020489,0.127911
2021-10-29,-1.545224,-1.032695,-0.050801,-0.717441,-2.911387,0.190605,0.236038,0.236901,-2.646345,-0.161821,1.321946,-0.195406,0.762095,-5.352829,-0.992637,0.508088,-0.131592,-0.698596,0.563723,-4.201519,0.709468
2021-11-05,-2.031450,-1.362415,-0.436573,0.057959,-2.016995,0.594837,0.264734,0.645757,-1.180167,0.339522,1.981165,0.114163,5.467153,4.411344,-0.515676,3.048081,-0.541004,1.455702,0.088445,-1.908481,1.298824
2021-11-12,0.591768,0.946064,2.328334,4.086385,1.822655,-0.114424,0.087608,2.632859,-0.729487,3.140566,-0.312994,0.132766,1.397088,3.384371,1.696730,-0.992466,0.176543,-0.545914,0.942752,-1.385684,0.913445
2021-11-19,-0.237521,0.034415,0.185156,1.367036,-1.103669,0.143133,0.146580,0.491435,-4.097454,-0.224444,0.322147,-0.375323,-4.682010,-0.722260,-0.234385,1.370417,-0.084071,0.351019,0.994444,-7.405526,0.414255
2021-11-26,-0.798402,-0.613960,0.694752,1.740661,-3.946942,0.393498,0.150685,0.683640,-9.125029,-2.658210,-2.224232,0.173762,12.235078,14.211933,-0.777704,0.753183,-0.337072,1.431191,-0.003331,-16.391652,0.784577
2021-12-03,1.063064,0.837837,1.130109,1.041987,-1.311819,-0.205707,0.121411,1.686093,-2.339124,-1.835908,-1.230492,-0.310165,2.430752,-4.215267,0.534379,1.234621,0.268603,-1.525014,0.111842,-4.687805,-0.151350
2021-12-10,4.022043,3.095820,0.064739,-0.937064,0.959046,0.211697,0.137782,-0.654379,7.058840,-0.082019,3.753555,-0.056497,-1.130329,-2.805675,-1.142844,-1.684211,-0.153220,0.659991,-0.126833,13.328565,-1.834430
2021-12-17,-2.253586,-2.005233,0.108255,-0.694577,-3.404093,0.067627,0.110337,0.180523,-3.240462,1.939389,-1.958347,-0.080092,4.250185,5.960970,0.406167,-1.906811,-0.007630,1.766296,0.649632,-5.506218,1.287224
2021-12-24,0.345166,-0.676686,-0.490698,-1.499603,0.134134,0.197070,0.044560,0.698759,3.664697,0.209020,2.250152,0.064393,2.472242,5.711328,1.138142,-2.816036,-0.138400,0.700629,-0.563152,6.494155,0.002809
2021-12-31,-0.484871,0.385905,1.101882,2.961110,0.746055,0.361330,0.166254,0.327393,3.061530,0.304707,0.851040,0.102002,2.645129,6.347452,1.796811,-0.804442,-0.304302,1.439168,-0.169284,5.333242,0.671632
2022-01-07,-1.571505,-2.417561,-2.528176,-4.176045,0.408223,-0.130378,0.152066,-0.384911,4.992592,-1.766241,-1.888185,-0.023530,-0.399687,-5.807324,-0.976672,0.898455,0.192149,-1.586936,-0.241303,8.580499,-6.108067
2022-01-14,-2.647673,-2.003129,-1.326195,-0.095410,3.718061,0.290745,0.165393,-1.251625,5.393232,1.734210,-0.303644,-0.102026,-8.013143,-7.235882,0.109800,-6.414038,-0.233423,0.603395,-0.605766,9.485665,1.060635
2022-01-21,2.506978,1.106307,-1.487111,-3.805879,2.359758,0.631320,0.265039,0.833768,1.640226,0.967064,-5.849060,-0.290952,-1.499627,9.560846,1.129739,-0.818083,-0.578024,2.569218,0.493836,2.578787,-2.336028
2022-01-28,-5.252944,-4.614759,-5.844862,-5.791076,-5.836766,0.085916,0.152842,-1.585531,1.108735,-2.170280,0.768085,0.399252,-7.241963,-7.999885,-3.261314,-2.427338,-0.027074,-0.534302,1.640524,1.259509,0.586911
2022-02-11,2.869061,0.821011,2.468968,0.868737,1.347516,-0.327212,0.129855,1.800026,2.750413,1.379258,-1.836321,-0.102019,-3.005824,5.080619,2.248823,1.454008,0.450803,-2.189893,0.587576,4.239697,0.406305
2022-02-18,0.631485,1.077336,1.325467,3.051424,-2.351921,0.030946,0.031929,-3.058767,-1.579175,2.992821,-1.591592,-0.532184,7.271275,4.649744,0.746188,-2.220889,0.028763,0.743138,0.074427,-2.104809,-0.519545
2022-02-25,-2.796867,-1.687064,-0.228359,1.507718,-6.629600,-0.076251,-0.033963,0.403757,1.009734,1.228712,0.819376,0.004736,-0.778438,-3.705916,-0.809637,1.886215,0.137419,-1.476485,0.457732,1.589253,0.928668
2022-03-04,-0.430267,-1.697854,-0.228982,-1.648884,-3.859187,-0.179978,-0.064931,-1.522796,22.187371,0.819280,-1.280327,-0.091603,1.550864,-4.548318,6.524343,1.044894,0.242303,-1.446229,2.017965,32.327588,1.130737
2022-03-11,-4.225270,-4.315322,-4.967248,-3.524513,-6.368281,0.179544,-0.154784,-3.235125,-5.153854,2.536975,-2.919635,0.028437,-6.189359,-7.069636,-3.968078,2.369280,-0.121390,3.953573,0.622353,-7.449379,1.082045
2022-03-18,-0.769335,-0.947697,-2.216341,-1.606538,4.092484,0.015361,0.064558,0.925760,-6.180709,-2.218206,5.973788,0.187799,-6.300360,-5.377418,1.962694,-0.824443,0.044720,0.347675,-0.910145,-8.637160,-1.216811
2022-03-25,-1.967533,-2.164121,-1.015512,-0.869447,-0.035126,-0.002023,0.052867,-2.277411,10.295726,1.454389,1.775272,0.493851,-3.148833,-1.092849,-0.002886,-1.176252,0.062275,-0.502390,0.590851,14.760368,1.216838
2022-04-01,2.994048,2.404258,1.524368,-0.694633,2.921963,0.207408,0.169639,1.657033,-10.914333,-1.363498,0.061613,-0.361499,-1.625943,-2.518587,-0.272910,10.850714,-0.149794,0.345016,-0.242576,-15.834988,-0.829105
2022-04-08,-0.604984,-1.067167,-2.230737,-2.956803,-0.763083,0.271404,0.215076,-0.503660,-2.268985,-0.055535,-1.274737,0.226483,-2.496529,-5.166368,1.277554,-0.901822,-0.214956,-0.002911,1.282287,-3.331236,-0.386158
2022-04-15,0.173738,-0.998159,-2.494956,-4.673261,-1.631423,0.069508,0.204728,-0.761194,8.657183,2.439450,-2.155052,0.381030,-5.657439,-6.227205,0.545027,-2.008659,-0.010385,-0.549204,0.675876,12.710998,-0.414348
2022-04-22,-4.054761,-4.280035,-5.585128,-6.302208,-4.173428,-0.079811,0.069232,-1.212636,-5.466446,0.241195,-2.788843,1.089573,-1.480741,-15.242728,-3.029805,5.252713,0.140706,-1.501111,0.598286,-7.403947,1.295561
2022-04-29,-0.312891,0.074505,-1.989395,-2.706360,2.161084,0.039482,0.124553,0.036349,0.339944,-0.241195,-3.328599,2.418048,6.231239,1.027846,-3.233806,-2.950694,0.019811,-1.186918,2.049591,0.672044,-1.039750
2022-05-06,-3.097924,-2.711213,-1.146093,0.525235,-5.293980,0.066137,0.110553,-0.289817,6.513931,-0.548542,-0.208110,0.233946,4.253333,0.552370,-2.959898,-0.015213,-0.007264,-0.335063,0.429624,9.363935,3.944187
2022-05-13,1.041553,2.020608,4.103047,5.188154,-0.517235,0.185102,0.250193,1.567640,-1.782261,-0.981010,-2.441442,2.333414,-0.728011,9.768281,-2.935979,3.044948,-0.127699,-0.444512,0.758439,-2.146022,0.317914
2022-05-20,2.149225,2.206819,2.263162,3.109682,4.030828,0.146023,0.249382,0.980548,1.508082,-0.622461,-3.092389,-0.607159,-1.204711,-1.204950,2.552032,-3.337671,-0.088337,-0.952913,-1.366390,1.805606,-0.683771
2022-05-27,-1.610884,-1.888952,-0.499996,-0.855408,-0.096005,0.458692,0.190930,-0.243112,2.111983,1.241071,6.376670,-0.148287,-2.875797,-3.987437,1.426443,2.737902,-0.404266,0.726217,-1.358752,3.140701,1.201254
2022-06-03,0.981200,2.182038,2.980930,3.680801,1.841961,-0.270390,-0.047558,0.295317,4.874061,-0.788900,-1.202417,-0.434260,9.280849,6.496850,1.723818,2.804233,0.323989,-1.483669,0.517632,6.524998,-0.408739
2022-06-10,3.841039,3.588649,2.624948,2.828104,3.376765,0.060753,0.020565,1.457342,0.699562,-0.361573,-5.187069,-0.150646,0.933332,1.281425,-0.844948,-0.477811,0.006502,0.444806,1.959910,0.945965,-1.550511
2022-06-17,1.255081,1.639028,1.213833,2.193559,-3.410591,0.029030,0.127538,0.959572,-7.067558,0.261267,-5.968745,-0.106036,-2.728409,0.112282,-3.624550,1.207924,0.029965,-0.507843,0.455424,-9.407307,-0.556719
2022-06-24,1.304505,1.969956,0.819479,2.289787,3.010271,-0.057593,0.121887,0.247450,-4.151539,-1.247144,6.247269,0.114991,-6.594756,-4.677536,-4.000282,2.434485,0.117391,-1.080235,-0.515235,-5.794175,-0.866806
2022-07-01,2.342789,1.623817,1.097158,0.902577,0.645866,-0.065582,0.050034,1.014780,2.258907,-1.201170,-2.233755,-0.204687,1.628080,1.098020,-1.918475,3.303229,0.125535,-0.030127,0.942150,3.148619,0.459025
2022-07-08,-1.721058,-0.852951,-0.531003,0.089803,-0.614930,-0.105059,0.087870,0.177966,-3.961548,-3.107381,1.917283,0.350849,-3.247605,-7.805236,-4.410618,3.851223,0.165696,-1.437424,1.678348,-5.686403,0.394114
2022-07-15,-5.278805,-4.155197,-3.295838,-2.136258,-6.799101,0.417770,0.247628,-0.779090,-5.782290,-0.975461,-0.933206,0.601780,-2.632488,-0.041926,-6.572727,-2.489210,-0.362752,0.823836,1.011379,-8.519434,1.744569
2022-07-22,0.317956,-0.242571,1.485373,2.618077,1.522610,0.184106,0.233612,0.556493,-2.381542,0.693928,2.517006,0.028143,13.218218,4.829748,2.569386,-2.486496,-0.126932,-0.744415,-1.333052,-3.617759,1.589872
2022-07-29,-1.989416,-1.620622,0.072823,1.170681,-2.220735,0.270797,0.242290,1.062766,5.179949,2.656045,4.169207,-0.125964,-1.726180,1.283681,5.086212,-0.987745,-0.214645,0.332784,-0.673958,7.793319,1.363143
2022-08-05,-0.646479,-0.316820,-0.375708,-0.386156,0.225133,0.292506,0.288017,-0.336512,-9.409937,1.286688,0.360100,-0.047463,3.033056,5.909969,0.040654,-2.350640,-0.236955,1.199915,0.692351,-14.062398,0.059638
2022-08-12,0.809651,0.820336,2.369308,1.939210,-0.130369,-0.027439,0.021700,1.158683,3.477799,0.030678,3.203943,0.011868,0.647089,4.187251,3.023055,-2.432018,0.086435,-1.250988,-0.841088,5.165010,0.286284
2022-08-19,-1.667746,-0.960859,-0.454821,0.077033,-2.015606,0.849005,0.273238,-0.294230,-1.978426,-0.939939,-1.214547,0.962525,-1.686125,-0.506451,-0.169508,-1.749366,-0.799967,2.479819,2.274677,-2.918157,0.870995
2022-08-26,0.034855,-1.054140,-1.471127,-3.577340,1.987945,-0.190331,-0.062368,-1.428671,2.882398,0.955274,-4.123614,0.616621,-10.456829,-10.588498,-0.222367,4.082550,0.250428,-1.012003,0.687851,4.099326,-0.196622
2022-09-02,-1.476369,-2.064537,-2.393253,-2.956578,-3.624382,0.363639,0.111455,-1.311081,-5.850351,-2.133621,-3.342865,0.627354,-3.029230,-0.566046,-4.900732,-3.130079,-0.309850,2.163926,0.691819,-9.040642,4.238721
2022-09-09,1.693335,1.729028,2.688109,1.997848,-0.462923,0.043117,0.144143,1.174635,-0.926232,1.682800,3.581634,0.262290,0.341955,-2.872437,2.757468,-1.974321,0.014221,-0.542851,-0.591645,-1.980388,-0.333090
2022-09-16,-2.926576,-4.014877,-5.909219,-6.457495,-3.150827,-0.116701,0.073868,-2.027288,-0.923970,-1.531487,-4.887954,0.299127,-10.788161,-8.862467,-0.718861,-2.320130,0.175790,-1.366506,0.635062,-1.610616,0.232236
2022-09-23,-1.817143,-1.968591,-1.095945,-1.830512,-4.515938,0.082172,0.053709,-0.371470,-6.811960,1.047673,-4.761319,0.883468,2.878872,-1.834079,-4.094570,2.121383,-0.025318,1.427194,3.029257,-10.713860,0.702543
2022-09-30,-0.751633,-1.335003,-3.025809,-3.825084,-4.042182,-0.495969,-0.090750,-1.478028,0.035064,0.817002,-2.957001,1.529998,-3.838151,-2.157106,0.379132,-2.419347,0.559460,-1.271321,-0.782743,0.590934,-0.600147
2022-10-14,-0.979133,0.982949,4.439248,4.494990,-6.716394,0.489948,0.218484,2.072285,-7.364709,0.408560,-1.567030,0.126684,6.099935,3.810788,-0.228331,3.844677,-0.380064,1.725603,0.489505,-11.187038,1.290287
2022-10-21,-3.843750,-2.625652,-0.277575,0.402970,-2.296343,-0.010362,0.141882,-1.091034,2.312867,-1.272008,4.626893,0.137762,1.646379,0.995629,1.315063,-0.533794,0.068112,-0.556381,-1.295985,3.394395,2.005752
2022-10-28,-6.661119,-5.535659,-2.983247,-3.036692,-8.681849,0.293028,0.052215,-1.758744,0.596508,1.363704,3.875941,0.716668,3.279470,9.784632,-0.243367,0.067385,-0.238475,1.128389,-1.055343,1.081118,2.559074
2022-11-04,5.896526,6.182306,5.904493,7.257676,8.373066,-0.065830,0.026325,2.297800,4.759593,-0.505374,-3.402743,1.188204,3.909690,11.858575,6.617441,6.798617,0.124138,-0.903073,0.097173,6.824571,0.537364
2022-11-11,1.996434,0.562870,0.084064,-0.990981,6.957904,-0.200269,-0.144826,-0.118192,-3.074634,3.992907,5.730442,-0.897128,-3.391611,-4.497001,4.199401,-6.012745,0.260098,-0.673960,-4.029788,-4.343057,-0.583552
2022-11-18,1.132002,0.345979,0.860110,0.224311,3.776859,-0.605433,-0.764143,-2.500677,-8.746717,0.171961,-0.693370,-1.141287,2.159911,4.238703,-4.801290,2.803552,0.670125,4.937809,0.524427,-13.851797,0.239438
2022-11-25,-0.082521,-0.680774,-1.690476,-2.220780,-2.356059,0.148479,0.159059,0.603081,-4.546767,0.044171,1.521153,0.348242,-4.546237,-4.842935,0.404287,-4.931752,-0.091933,1.502623,-0.840597,-7.122225,-0.165433
2022-12-02,2.713712,2.489336,1.308022,2.552756,6.080783,-0.288717,-0.324494,1.463796,1.867005,0.518770,1.125747,-1.123489,0.104299,-1.462665,5.144244,2.915798,0.349929,1.375814,-1.484103,3.200699,-0.818876
2022-12-09,3.462815,3.235593,0.393003,-0.002489,6.355898,-0.132713,-0.580746,-0.414892,-10.611525,-1.539665,-3.430729,-1.361614,-1.515522,-3.713193,-0.301174,-2.389183,0.192364,5.216727,0.397163,-17.714841,-2.203668
2022-12-16,-0.683925,-1.107018,-1.947662,-2.438627,-2.288193,0.093355,-0.336787,-2.119320,3.126857,-0.138896,-2.106736,0.291292,-0.462210,-2.531610,-2.866616,-3.964098,-0.035777,3.738009,-0.075415,5.448158,0.062525
2022-12-23,-2.730493,-3.238550,-5.231193,-5.659016,0.729391,0.392418,0.197284,-2.020328,6.460949,0.963327,-0.195916,0.027220,-6.324825,-4.127669,1.016107,-4.023012,-0.337879,2.219591,-0.500168,10.430724,-0.041778
2022-12-30,0.737712,1.127696,1.739341,1.943032,0.956719,0.111108,0.181023,1.074725,1.688794,0.959005,-0.138464,-0.235200,2.619121,2.130358,-1.403525,0.294081,-0.053994,-0.457847,-0.802649,3.008249,-0.081782
2023-01-06,2.931003,2.782852,2.498148,3.422340,5.938166,0.084664,0.297503,2.092889,-8.985932,-0.287714,1.437207,-1.059494,5.018534,6.007204,2.918305,-5.352567,-0.027398,-2.909723,0.404632,-14.955326,-0.742824
2023-01-13,2.680603,2.321279,0.743551,0.264144,3.496798,-0.158302,0.014718,0.183440,8.332563,1.377392,2.635262,-2.378897,-2.136445,-2.816901,6.109013,-1.795216,0.218154,-1.084146,-1.689600,14.635320,-1.473629
2023-01-20,1.758561,2.595852,3.148226,3.309979,1.397770,-0.088221,-0.012180,2.077016,2.576836,1.974501,-0.664353,0.607436,4.118030,4.312377,0.805220,1.162957,0.147353,-0.272902,-0.168100,4.124217,-0.374684
2023-02-03,-2.210013,-0.958653,1.464917,2.755635,-4.638688,0.148239,0.246963,0.181071,-7.701207,-0.987147,1.606460,-0.473780,8.498233,3.038241,-2.357881,-3.272814,-0.033434,-0.177208,1.048137,-12.413291,1.624783
2023-02-10,-1.017040,-0.856515,-0.148827,0.723986,-2.193975,0.054931,0.251221,-0.306012,8.060150,-2.067294,-1.118775,0.742245,10.200694,20.702486,-0.997875,2.144840,0.002558,-1.683854,0.561356,12.771377,0.899403
2023-02-17,-1.187852,-1.764063,-1.540745,-1.543620,-2.245895,0.074815,0.304113,-1.642348,-3.972939,-0.121800,-0.278351,1.135186,-4.685677,-5.122097,1.460416,1.717176,-0.017497,-2.344804,0.294519,-6.422453,0.636649
2023-02-24,0.488843,0.655639,1.644753,1.104395,-3.485610,-0.062747,0.105083,0.644829,-0.361447,0.699541,-2.709775,0.411335,4.453785,1.736680,-3.763594,-0.100502,0.121551,-2.116584,1.320264,-0.375381,0.217568
2023-03-03,1.705489,1.697038,0.777218,0.332299,2.747996,0.016836,0.157395,0.555057,3.731556,0.588862,1.886359,0.253515,1.594021,3.507498,1.978018,-1.458514,0.041073,-1.714029,-0.698795,6.212703,-0.705239
2023-03-10,-5.106318,-4.036666,-2.944486,-2.464724,-6.257742,0.288672,0.253777,-1.212270,-3.985347,0.283538,-4.656074,0.775376,-3.182823,-5.244178,-1.630248,4.079596,-0.234065,0.079680,0.116073,-6.475761,1.826403
2023-03-17,-0.296222,-0.209837,-0.350573,-0.915160,1.023066,0.202395,0.250091,0.047048,-13.063144,3.693307,1.415513,-0.869464,0.840653,1.673479,-1.460264,-2.404992,-0.146765,-1.423974,-0.754390,-21.867845,-0.145477
2023-03-24,0.935050,1.708718,2.031779,1.934518,2.014002,0.022706,0.175404,0.823646,2.841217,1.892078,1.378129,-0.986721,41.152003,22.570073,2.750074,0.691941,0.034838,-0.998349,-0.732188,5.538644,-0.317814
2023-03-31,0.324906,0.591239,0.469892,0.114324,2.403293,0.099046,0.168488,0.024036,6.887669,0.113392,3.423970,0.500399,12.018664,21.032368,0.409100,1.295812,-0.042414,-0.063014,-0.494889,11.645339,0.101119
2023-04-07,0.858170,1.770352,1.947036,2.400945,-0.338364,0.041821,0.154873,0.973144,6.079388,1.377593,-0.104452,0.175930,17.976839,36.978233,-0.723099,-1.198335,0.015399,-1.272481,-0.480406,9.633292,-0.040829
2023-04-14,-0.218298,-0.761538,-0.517973,-0.324200,0.527889,0.241568,0.184187,0.002680,1.970105,0.819312,0.791496,-0.337592,-5.823083,3.471712,1.353347,-5.694267,-0.186764,-0.377804,-0.518258,2.685965,0.022775
2023-04-21,-0.929884,-1.463036,-2.847215,-3.575692,-1.792392,0.129685,0.182137,-1.238841,-5.798037,-1.902688,-0.099623,0.212583,16.176755,4.071469,-2.420784,1.031886,-0.073541,-1.048071,0.140287,-9.365562,-0.262457
2023-04-28,0.883188,-0.086369,-0.148906,-0.743995,-0.906479,0.304513,0.165443,0.819402,-1.839444,0.347418,0.866198,0.707290,14.067485,-9.280993,-1.574560,1.989208,-0.250535,1.001815,-0.054675,-2.868843,1.622889
2023-05-05,0.276592,-0.303467,-0.653736,-1.041372,0.774791,0.290568,0.183794,-0.520403,-6.286205,3.077985,-0.800175,-0.182142,-13.811703,-14.546344,-0.093824,2.463080,-0.236667,0.318073,-0.368654,-10.486359,2.714683
2023-05-12,-2.040103,-1.989224,-1.772378,-1.784928,-2.127634,0.216983,0.235492,-0.974481,-1.604956,-1.411912,-0.294662,0.529602,-3.321114,5.097195,-3.132017,1.605216,-0.162446,0.323637,1.385943,-2.712397,0.435119
2023-05-19,0.092631,0.171983,0.416701,1.010393,-0.904202,-0.032924,0.085830,0.893447,1.896424,-0.863071,1.633021,1.251473,21.000523,5.472365,-0.258409,-1.874033,0.090297,-0.733161,0.474124,4.282491,0.270442
2023-05-26,-2.841396,-2.401226,-1.351229,-0.850416,-3.684690,0.119797,0.106893,-0.516500,2.068679,-0.474741,0.320813,0.572580,-2.268611,4.568939,-1.828646,-0.315765,-0.064343,0.632338,0.984842,4.004889,1.113176
2023-06-02,-0.628542,0.282197,1.157073,1.212692,1.077129,0.158865,0.101467,0.480243,-1.002809,1.514843,1.812529,0.252648,15.421723,13.247441,3.360375,-2.336849,-0.103776,1.343808,-0.160761,-1.653097,0.391366
2023-06-09,0.013964,-0.652882,-1.578854,-1.992400,2.295413,0.214886,0.128294,-0.112919,-1.796139,0.008843,0.384328,0.247793,7.845956,4.127982,0.164913,-0.980927,-0.160264,0.780224,-0.471865,-2.657034,-0.169207
2023-06-16,2.215412,3.247655,2.277356,2.635122,3.299385,0.024264,0.064887,0.775073,1.612726,-0.407603,2.543184,0.244375,29.675037,15.320120,2.978568,-0.857545,0.031918,-0.577262,-1.205524,2.950483,-1.255948
2023-06-23,-3.197164,-2.537858,-2.589630,-1.824894,-5.911765,0.032571,-0.013856,-0.953381,-2.267852,-0.146611,-1.398985,0.707280,3.111999,2.587688,0.567554,1.445630,0.007411,0.873678,0.552056,-4.374262,0.832789
2023-06-30,-1.076671,-0.560068,0.131511,0.815652,0.139976,0.262102,0.104477,0.222959,0.854820,-0.276034,2.319762,0.642821,-8.106392,-3.569314,-1.692448,-2.401359,-0.192185,1.569010,0.482013,1.556200,0.602331
2023-07-07,-0.103054,-0.436946,-0.620781,-1.228513,-2.954606,0.128064,0.157622,0.096453,3.886771,0.493652,-1.162361,-0.282721,-0.311999,-0.723821,-0.117716,-1.753764,-0.073050,-0.143814,-1.121944,7.337147,-3.157576
2023-07-14,2.318893,1.900531,1.149319,0.352564,5.549833,0.107724,0.129505,0.426997,1.850496,0.702905,2.391524,-1.026709,5.557142,-3.145075,2.183642,-0.104917,-0.052705,-1.365959,-2.237735,2.655793,-1.222223
2023-07-21,-1.528399,-1.999615,-1.754679,-2.209944,-1.759092,0.319214,0.182027,-0.177248,1.569930,1.160639,0.683940,0.193313,-17.656040,-16.182379,-1.817951,-2.685156,-0.266582,0.208812,1.116555,2.329228,0.668014
2023-07-28,5.343790,4.372681,1.965467,0.994188,4.315934,-0.062583,0.021573,1.337585,4.117303,-0.655310,1.006526,-0.165273,-2.596861,-5.582956,2.321663,1.055381,0.119015,-0.426905,0.618645,6.464518,-2.373604
2023-08-04,0.068476,0.694886,1.401824,1.076040,-1.911554,0.125352,0.121510,0.376422,2.182674,-0.417262,-2.300256,0.112079,9.787226,7.559023,-0.711652,3.306276,-0.070908,0.502514,0.285397,3.768613,0.107987
2023-08-11,-3.064641,-3.449508,-3.574662,-3.593648,-2.404747,0.080149,0.189562,-1.060001,0.670988,0.254956,-0.312679,0.236355,-13.742013,-11.337106,-2.136120,2.067725,-0.025191,-1.112909,0.852501,1.043139,0.879399
2023-08-18,-2.415910,-2.614824,-2.319004,-3.019580,-6.075107,0.430643,0.227142,-0.344798,-2.215059,-0.101026,-2.135978,0.583596,-5.450118,-7.479184,-0.572017,-1.228702,-0.379678,0.555875,0.548954,-3.546683,0.642969
2023-08-25,-0.891089,-1.997946,-3.461662,-3.969810,0.030802,0.184464,0.183409,-1.276786,-0.626739,0.744312,0.820478,-0.170965,-7.699550,-7.051382,-0.175593,2.828562,-0.131263,-1.463014,0.722995,-1.019846,-0.041369
2023-09-01,1.870268,2.195620,2.993356,3.807710,2.342971,-0.184464,0.007739,1.050551,5.414214,0.859978,2.467429,-0.132247,4.747571,1.022176,0.444393,2.126032,0.241695,-0.539383,0.078285,8.343787,0.997064
2023-09-08,-0.486310,-1.367574,-0.736166,-0.077173,-0.983987,-0.453581,-0.288646,-1.171523,1.616264,0.942652,-1.298989,0.502995,-6.349874,-6.681619,-1.201302,1.001948,0.513883,1.169494,0.754277,2.566570,1.054533
2023-09-15,-0.198215,-0.838159,-0.069384,-0.384600,-0.105428,0.091903,0.131194,-0.333412,4.147635,0.615019,-0.160982,-0.505781,-6.445623,-2.792943,1.201049,-2.223082,-0.037339,1.095698,0.257509,6.360921,0.398377
2023-09-22,1.421404,0.809813,-0.102537,-0.397814,-0.692270,-0.120549,0.073124,0.141819,-1.971139,0.161668,-2.970671,-0.079434,11.836846,10.352044,-1.768298,0.012622,0.177727,-1.236008,0.259688,-2.697334,-0.635023
2023-09-29,-1.735765,-1.330459,-0.141306,0.395868,-1.381734,-0.028111,0.052004,0.412492,-0.346809,-2.361451,-0.743721,0.096149,4.161385,3.001098,0.691112,1.621720,0.076126,-0.125019,0.549666,-0.654326,1.031396
